Hero1,Hero2,Appeared_Together
SPIDER-MAN,CAPTAIN AMERICA,145
SPIDER-MAN,IRON MAN,94
SPIDER-MAN,THING,126
SPIDER-MAN,THOR,95
SPIDER-MAN,HUMAN TORCH,147
SPIDER-MAN,MR. FANTASTIC,121
SPIDER-MAN,HULK,93
SPIDER-MAN,WOLVERINE,63
SPIDER-MAN,INVISIBLE WOMAN,97
SPIDER-MAN,SCARLET WITCH,67
SPIDER-MAN,BEAST,51
SPIDER-MAN,DR. STRANGE,71
SPIDER-MAN,"WATSON-PARKER, MARY",0
SPIDER-MAN,DAREDEVIL,103
SPIDER-MAN,HAWK,57
SPIDER-MAN,VISION,0
SPIDER-MAN,CYCLOPS,51
SPIDER-MAN,WASP,78
SPIDER-MAN,"JAMESON, J. JONAH",526
SPIDER-MAN,ANT-MAN,46
SPIDER-MAN,SUB-MARINER,46
SPIDER-MAN,STORM,42
SPIDER-MAN,PROFESSOR X,41
SPIDER-MAN,"FURY, COL. NICHOLAS",0
CAPTAIN AMERICA,IRON MAN,446
CAPTAIN AMERICA,THING,168
CAPTAIN AMERICA,THOR,386
CAPTAIN AMERICA,HUMAN TORCH,158
CAPTAIN AMERICA,MR. FANTASTIC,166
CAPTAIN AMERICA,HULK,111
CAPTAIN AMERICA,WOLVERINE,78
CAPTAIN AMERICA,INVISIBLE WOMAN,149
CAPTAIN AMERICA,SCARLET WITCH,374
CAPTAIN AMERICA,BEAST,169
CAPTAIN AMERICA,DR. STRANGE,67
CAPTAIN AMERICA,"WATSON-PARKER, MARY",0
CAPTAIN AMERICA,DAREDEVIL,71
CAPTAIN AMERICA,HAWK,322
CAPTAIN AMERICA,VISION,0
CAPTAIN AMERICA,CYCLOPS,66
CAPTAIN AMERICA,WASP,384
CAPTAIN AMERICA,"JAMESON, J. JONAH",32
CAPTAIN AMERICA,ANT-MAN,295
CAPTAIN AMERICA,SUB-MARINER,158
CAPTAIN AMERICA,STORM,57
CAPTAIN AMERICA,PROFESSOR X,61
CAPTAIN AMERICA,"FURY, COL. NICHOLAS",0
IRON MAN,THING,129
IRON MAN,THOR,344
IRON MAN,HUMAN TORCH,108
IRON MAN,MR. FANTASTIC,128
IRON MAN,HULK,85
IRON MAN,WOLVERINE,33
IRON MAN,INVISIBLE WOMAN,114
IRON MAN,SCARLET WITCH,372
IRON MAN,BEAST,142
IRON MAN,DR. STRANGE,52
IRON MAN,"WATSON-PARKER, MARY",0
IRON MAN,DAREDEVIL,53
IRON MAN,HAWK,294
IRON MAN,VISION,0
IRON MAN,CYCLOPS,28
IRON MAN,WASP,301
IRON MAN,"JAMESON, J. JONAH",27
IRON MAN,ANT-MAN,291
IRON MAN,SUB-MARINER,71
IRON MAN,STORM,22
IRON MAN,PROFESSOR X,29
IRON MAN,"FURY, COL. NICHOLAS",0
THING,THOR,126
THING,HUMAN TORCH,744
THING,MR. FANTASTIC,708
THING,HULK,99
THING,WOLVERINE,76
THING,INVISIBLE WOMAN,668
THING,SCARLET WITCH,99
THING,BEAST,67
THING,DR. STRANGE,55
THING,"WATSON-PARKER, MARY",0
THING,DAREDEVIL,61
THING,HAWK,80
THING,VISION,0
THING,CYCLOPS,71
THING,WASP,89
THING,"JAMESON, J. JONAH",29
THING,ANT-MAN,73
THING,SUB-MARINER,102
THING,STORM,69
THING,PROFESSOR X,63
THING,"FURY, COL. NICHOLAS",0
THOR,HUMAN TORCH,124
THOR,MR. FANTASTIC,129
THOR,HULK,72
THOR,WOLVERINE,28
THOR,INVISIBLE WOMAN,111
THOR,SCARLET WITCH,254
THOR,BEAST,90
THOR,DR. STRANGE,41
THOR,"WATSON-PARKER, MARY",0
THOR,DAREDEVIL,41
THOR,HAWK,210
THOR,VISION,0
THOR,CYCLOPS,40
THOR,WASP,238
