Hero1,Hero2,Appeared_Together
SPIDER-MAN,CAPTAIN AMERICA,145
SPIDER-MAN,IRON MAN,94
SPIDER-MAN,THING,126
SPIDER-MAN,THOR,95
SPIDER-MAN,HUMAN TORCH,147
SPIDER-MAN,MR. FANTASTIC,121
SPIDER-MAN,HULK,93
SPIDER-MAN,WOLVERINE,63
SPIDER-MAN,INVISIBLE WOMAN,97
SPIDER-MAN,SCARLET WITCH,67
SPIDER-MAN,BEAST,51
SPIDER-MAN,DR. STRANGE,71
SPIDER-MAN,"WATSON-PARKER, MARY",0
SPIDER-MAN,DAREDEVIL,103
SPIDER-MAN,HAWK,57
SPIDER-MAN,VISION,0
SPIDER-MAN,CYCLOPS,51
SPIDER-MAN,WASP,78
SPIDER-MAN,"JAMESON, J. JONAH",526
SPIDER-MAN,ANT-MAN,46
SPIDER-MAN,SUB-MARINER,46
SPIDER-MAN,STORM,42
SPIDER-MAN,PROFESSOR X,41
SPIDER-MAN,"FURY, COL. NICHOLAS",0
SPIDER-MAN,MARVEL GIRL,24
SPIDER-MAN,COLOSSUS II,45
SPIDER-MAN,NIGHTCRAWLER,35
SPIDER-MAN,ANGEL,35
SPIDER-MAN,ICEMAN,31
SPIDER-MAN,SHE-HULK,58
SPIDER-MAN,"JARVIS, EDWIN",0
SPIDER-MAN,WONDER MAN,39
SPIDER-MAN,BLACK WIDOW,40
SPIDER-MAN,"ROBERTSON, JOE",356
SPIDER-MAN,"PARKER, MAY",380
SPIDER-MAN,HERCULES [GREEK GOD],29
SPIDER-MAN,QUICKSILVER,23
SPIDER-MAN,SHADOWCAT,16
SPIDER-MAN,"JONES, RICHARD MILHO",14
SPIDER-MAN,ODIN [ASGARDIAN],7
SPIDER-MAN,ROGUE ,26
SPIDER-MAN,BLACK PANTHER,24
SPIDER-MAN,SILVER SURFER,34
SPIDER-MAN,CANNONBALL II,13
SPIDER-MAN,PUNISHER II,43
SPIDER-MAN,CAPTAIN BRITAIN,8
SPIDER-MAN,"NELSON, FRANKLIN FOG",28
SPIDER-MAN,DR. DOOM,44
SPIDER-MAN,"RICHARDS, FRANKLIN B",29
CAPTAIN AMERICA,IRON MAN,446
CAPTAIN AMERICA,THING,168
CAPTAIN AMERICA,THOR,386
CAPTAIN AMERICA,HUMAN TORCH,158
CAPTAIN AMERICA,MR. FANTASTIC,166
CAPTAIN AMERICA,HULK,111
CAPTAIN AMERICA,WOLVERINE,78
CAPTAIN AMERICA,INVISIBLE WOMAN,149
CAPTAIN AMERICA,SCARLET WITCH,374
CAPTAIN AMERICA,BEAST,169
CAPTAIN AMERICA,DR. STRANGE,67
CAPTAIN AMERICA,"WATSON-PARKER, MARY",0
CAPTAIN AMERICA,DAREDEVIL,71
CAPTAIN AMERICA,HAWK,322
CAPTAIN AMERICA,VISION,0
CAPTAIN AMERICA,CYCLOPS,66
CAPTAIN AMERICA,WASP,384
CAPTAIN AMERICA,"JAMESON, J. JONAH",32
CAPTAIN AMERICA,ANT-MAN,295
CAPTAIN AMERICA,SUB-MARINER,158
CAPTAIN AMERICA,STORM,57
CAPTAIN AMERICA,PROFESSOR X,61
CAPTAIN AMERICA,"FURY, COL. NICHOLAS",0
CAPTAIN AMERICA,MARVEL GIRL,45
CAPTAIN AMERICA,COLOSSUS II,54
CAPTAIN AMERICA,NIGHTCRAWLER,35
CAPTAIN AMERICA,ANGEL,52
CAPTAIN AMERICA,ICEMAN,49
CAPTAIN AMERICA,SHE-HULK,172
CAPTAIN AMERICA,"JARVIS, EDWIN",0
CAPTAIN AMERICA,WONDER MAN,216
CAPTAIN AMERICA,BLACK WIDOW,143
CAPTAIN AMERICA,"ROBERTSON, JOE",16
CAPTAIN AMERICA,"PARKER, MAY",13
CAPTAIN AMERICA,HERCULES [GREEK GOD],182
